"Date of Prequalification ","Vaccine Type","Commercial Name",Presentation,"No. of doses",Manufacturer,"Responsible NRA"
21/12/2009,"Tetanus Toxoid","None used on labelling for supply through UN agencies.     Also marketed with labelled commercial name  BEtt.",Vial,20,"Biological E. Limited","Central Drugs Standard Control Organization"
18/05/2012,"Diphtheria-Tetanus-Pertussis (whole cell)-Hepatitis B-Haemophilus influenzae type b","None used on labelling for supply through UN agencies.     Also marketed with labelled commercial name  ComBE Five (Liquid).",Vial,1,"Biological E. Limited","Central Drugs Standard Control Organization"
27/11/2014,"Diphtheria-Tetanus-Pertussis (whole cell)-Hepatitis B-Haemophilus influenzae type b","None used on labelling for supply through UN agencies.     Also marketed with labelled commercial name  ComBE Five (Liquid).",Vial,2,"Biological E. Limited","Central Drugs Standard Control Organization"
27/11/2014,"Diphtheria-Tetanus-Pertussis (whole cell)-Hepatitis B-Haemophilus influenzae type b","None used on labelling for supply through UN agencies.     Also marketed with labelled commercial name  ComBE Five (Liquid).",Vial,5,"Biological E. Limited","Central Drugs Standard Control Organization"
18/05/2012,"Diphtheria-Tetanus-Pertussis (whole cell)-Hepatitis B-Haemophilus influenzae type b","None used on labelling for supply through UN agencies.     Also marketed with labelled commercial name  ComBE Five (Liquid).",Vial,10,"Biological E. Limited","Central Drugs Standard Control Organization"
01/09/2011,"Diphtheria-Tetanus-Pertussis (whole cell)-Hepatitis B-Haemophilus influenzae type b","None used on labelling for supply through UN agencies.     Also marketed with labelled commercial name  ComBE Five (Reconstituted).","Two vial set (active + active)",1,"Biological E. Limited","Central Drugs Standard Control Organization"
01/09/2011,"Diphtheria-Tetanus-Pertussis (whole cell)-Hepatitis B-Haemophilus influenzae type b","None used on labelling for supply through UN agencies.     Also marketed with labelled commercial name  ComBE Five (Reconstituted).","Two vial set (active + active)",10,"Biological E. Limited","Central Drugs Standard Control Organization"
31/07/2014,"Diphtheria-Tetanus-Pertussis (whole cell)","None used on labelling for supply through UN agencies.     Also marketed with labelled commercial name  TRIPVAC",Vial,1,"Biological E. Limited","Central Drugs Standard Control Organization"
31/07/2014,"Diphtheria-Tetanus-Pertussis (whole cell)","None used on labelling for supply through UN agencies.     Also marketed with labelled commercial name  TRIPVAC",Vial,10,"Biological E. Limited","Central Drugs Standard Control Organization"
14/01/2016,"Polio Vaccine - Oral (OPV) Monovalent Type 2","ORAL MONOVALENT TYPE 2 POLIOMYELITIS VACCINE (mOPV2)",Vial,20,"Sanofi Pasteur","Agence nationale de sécurité du médicament et des produits de santé"
31/08/2020,"Polio Vaccine - Oral (OPV) Trivalent","Oral Poliomyelitis Vaccines (Oral Drops)",Vial,20,"PT Bio Farma (Persero)","National Agency of Drug and Food Control Indonesia"
18/12/2020,"Influenza, Pandemic (H5N1)","Pandemic Live Attenuated Vaccine",Sprayer,1,"AstraZeneca Pharmaceuticals LP.","European Medicines Agency"
22/01/2010,"Influenza, Pandemic (H1N1)",Panenza,Vial,10,"Sanofi Pasteur","Agence nationale de sécurité du médicament et des produits de santé"
01/12/2009,"Influenza, Pandemic (H1N1)",Panvax,Vial,10,"Seqirus Limited","Therapeutic Goods Administration"
19/12/2014,"Diphtheria-Tetanus-Pertussis (whole cell)-Hepatitis B-Haemophilus influenzae type b",Pentabio,Vial,5,"PT Bio Farma (Persero)","National Agency of Drug and Food Control Indonesia"
19/12/2014,"Diphtheria-Tetanus-Pertussis (whole cell)-Hepatitis B-Haemophilus influenzae type b",Pentabio,Vial,10,"PT Bio Farma (Persero)","National Agency of Drug and Food Control Indonesia"
21/04/2020,"Polio Vaccine - Inactivated (IPV)",Picovax,Vial,5,"AJ Vaccines A/S","Danish Medicines Agency"
18/12/2019,"Pneumococcal (conjugate)",PNEUMOSIL®,Vial,1,"Serum Institute of India Pvt. Ltd.","Central Drugs Standard Control Organization"
18/12/2019,"Pneumococcal (conjugate)",PNEUMOSIL®,Vial,5,"Serum Institute of India Pvt. Ltd.","Central Drugs Standard Control Organization"
19/01/2024,"Pneumococcal (conjugate)",PNEUMOSIL,Vial,10,"Serum Institute of India Pvt. Ltd.","Central Drugs Standard Control Organization"
29/10/2009,"Polio Vaccine - Oral (OPV) Monovalent Type 1","Polio Sabin Mono T1",Vial,10,"GlaxoSmithKline Biologicals SA","Federal Agency for Medicines and Health Products"
29/10/2009,"Polio Vaccine - Oral (OPV) Monovalent Type 1","Polio Sabin Mono T1",Vial,20,"GlaxoSmithKline Biologicals SA","Federal Agency for Medicines and Health Products"
05/10/2010,"Polio Vaccine - Oral (OPV) Monovalent Type 3","Polio Sabin Mono Three (oral)",Vial,10,"GlaxoSmithKline Biologicals SA","Federal Agency for Medicines and Health Products"
05/10/2010,"Polio Vaccine - Oral (OPV) Monovalent Type 3","Polio Sabin Mono Three (oral)",Vial,20,"GlaxoSmithKline Biologicals SA","Federal Agency for Medicines and Health Products"
11/05/2011,"Polio Vaccine - Oral (OPV) Monovalent Type 2","Polio Sabin Mono Two (oral)",Vial,10,"GlaxoSmithKline Biologicals SA","Federal Agency for Medicines and Health Products"
11/05/2011,"Polio Vaccine - Oral (OPV) Monovalent Type 2","Polio Sabin Mono Two (oral)",Vial,20,"GlaxoSmithKline Biologicals SA","Federal Agency for Medicines and Health Products"
29/10/2009,"Polio Vaccine - Oral (OPV) Bivalent Types 1 and 3","Polio Sabin One and Three",Vial,10,"GlaxoSmithKline Biologicals SA","Federal Agency for Medicines and Health Products"
29/10/2009,"Polio Vaccine - Oral (OPV) Bivalent Types 1 and 3","Polio Sabin One and Three",Vial,20,"GlaxoSmithKline Biologicals SA","Federal Agency for Medicines and Health Products"
06/12/2010,"Polio Vaccine - Inactivated (IPV)","Poliomyelitis vaccine",Vial,1,"Bilthoven Biologicals B.V.","Medicines Evaluation Board (MEB)"
29/07/2024,"Polio Vaccine - Novel Oral (nOPV) Type 2","Poliomyelitis Vaccine - Novel Oral (nOPV) Type 2",Vial,20,"Biological E. Limited","Central Drugs Standard Control Organization"
27/12/2023,"Polio Vaccine - Novel Oral (nOPV) Type 2","Polio Vaccine - Novel Oral (nOPV) Type 2",Vial,50,"PT Bio Farma (Persero)","National Agency of Drug and Food Control Indonesia"
29/07/2024,"Polio Vaccine - Novel Oral (nOPV) Type 2","Poliomyelitis Vaccine - Novel Oral (nOPV) Type 2",Vial,50,"Biological E. Limited","Central Drugs Standard Control Organization"
28/10/2016,"Polio Vaccine - Inactivated (IPV)","Poliomyelitis Vaccine (Inactivated)",Vial,1,"Serum Institute of India Pvt. Ltd.","Central Drugs Standard Control Organization"
28/10/2016,"Polio Vaccine - Inactivated (IPV)","Poliomyelitis Vaccine (Inactivated)",Vial,2,"Serum Institute of India Pvt. Ltd.","Central Drugs Standard Control Organization"
28/10/2016,"Polio Vaccine - Inactivated (IPV)","Poliomyelitis Vaccine (Inactivated)",Vial,5,"Serum Institute of India Pvt. Ltd.","Central Drugs Standard Control Organization"
11/07/2019,"Polio Vaccine - Inactivated (IPV)","Poliomyelitis Vaccine (Inactivated)",Vial,10,"Serum Institute of India Pvt. Ltd.","Central Drugs Standard Control Organization"
21/12/2017,"Polio Vaccine - Oral (OPV) Bivalent Types 1 and 3","Poliomyelitis Vaccine (live, oral attenuated, human Diploid Cell), type 1 and 3",Vial,20,"Beijing Institute of Biological Products Co., Ltd.","National Medical Products Administration"
22/10/2014,"Polio Vaccine - Oral (OPV) Bivalent Types 1 and 3","Poliomyelitis Vaccine (Oral), Bivalent types 1 and 3",Vial,10,"Serum Institute of India Pvt. Ltd.","Central Drugs Standard Control Organization"
04/02/2013,"Polio Vaccine - Oral (OPV) Bivalent Types 1 and 3","Poliomyelitis Vaccine (Oral), Bivalent types 1 and 3",Vial,20,"Serum Institute of India Pvt. Ltd.","Central Drugs Standard Control Organization"
06/06/2022,"Polio Vaccine - Inactivated Sabin (sIPV)","Poliomyelitis Vaccine (Vero Cell), Inactivated, Sabin Strains",Vial,1,"Sinovac Biotech Co. Ltd","National Medical Products Administration"
15/02/2022,"Polio Vaccine - Inactivated Sabin (sIPV)","Poliomyelitis Vaccine (Vero Cell), Inactivated, Sabin Strains",Vial,1,"Beijing Institute of Biological Products Co., Ltd.","National Medical Products Administration"
29/08/2024,"Polio Vaccine - Inactivated Sabin (sIPV)","Poliomyelitis Vaccine (Vero Cell), Inactivated, Sabin Strains",Vial,5,"Sinovac Biotech Co. Ltd","National Medical Products Administration"
28/11/2014,"Polio Vaccine - Inactivated (IPV)","Poliomyelitis vaccine multidose",Vial,5,"Bilthoven Biologicals B.V.","Medicines Evaluation Board (MEB)"
29/02/2024,"Polio Vaccine - Inactivated (IPV)","Poliomyelitis vaccine multidose",Vial,10,"Bilthoven Biologicals B.V.","Medicines Evaluation Board (MEB)"
02/02/2006,"Polio Vaccine - Oral (OPV) Trivalent","Polioviral vaccine",Vial,20,"Haffkine Bio Pharmaceutical Corporation Ltd","Central Drugs Standard Control Organization"
20/08/2010,"Pneumococcal (conjugate)","Prevenar 13",Vial,1,"Pfizer Europe MA EEIG","European Medicines Agency"
14/07/2016,"Pneumococcal (conjugate)","Prevenar 13 Multidose Vial",Vial,4,"Pfizer Europe MA EEIG","European Medicines Agency"
09/03/2001,"Measles, Mumps and Rubella",Priorix,Vial,1,"GlaxoSmithKline Biologicals SA","Federal Agency for Medicines and Health Products"
21/12/2011,"Measles, Mumps and Rubella",Priorix,Vial,2,"GlaxoSmithKline Biologicals SA","Federal Agency for Medicines and Health Products"
09/05/2024,"Dengue Tetravalent (live, attenuated)",Qdenga,"Two vial set (active + excipient)",1,"Takeda GmbH.","European Medicines Agency"
26/04/2010,"Haemophilus influenzae type b",Quimi-Hib,Vial,1,"Centro de Ingenieria Genetica y Biotecnologia","Centro para el Control Estatal de la Calidad de los Medicamentos"
19/12/2023,Malaria,CYVAC,Vial,1,"Serum Institute of India Pvt. Ltd.","Central Drugs Standard Control Organization"
20/12/2018,Rabies,"Rabies Vaccine Inactivated (Freeze Dried)(RABIVAX-S)","Vial + Ampoule",1,"Serum Institute of India Pvt. Ltd.","Central Drugs Standard Control Organization"
06/01/2009,"Measles, Mumps and Rubella","rHA M-M-R II",Vial,1,"Merck Sharp & Dohme LLC","European Medicines Agency"
12/03/2009,Rotavirus,Rotarix,"Plastic Tube",1,"GlaxoSmithKline Biologicals SA","Federal Agency for Medicines and Health Products"
14/02/2019,Rotavirus,Rotarix,"Plastic Tube",5,"GlaxoSmithKline Biologicals SA","Federal Agency for Medicines and Health Products"
12/03/2009,Rotavirus,Rotarix,Applicator,1,"GlaxoSmithKline Biologicals SA","Federal Agency for Medicines and Health Products"
21/09/2018,"Rotavirus (live, attenuated)",ROTASIIL,"Two vial set (active + excipient)",1,"Serum Institute of India Pvt. Ltd.","Central Drugs Standard Control Organization"
21/09/2018,"Rotavirus (live, attenuated)",ROTASIIL,"Two vial set (active + excipient)",2,"Serum Institute of India Pvt. Ltd.","Central Drugs Standard Control Organization"
13/09/2023,"Rotavirus (live, attenuated)",ROTASIIL-Liquid,Vial,1,"Serum Institute of India Pvt. Ltd.","Central Drugs Standard Control Organization"
08/10/2021,"Rotavirus (live, attenuated)",ROTASIIL-Liquid,Vial,2,"Serum Institute of India Pvt. Ltd.","Central Drugs Standard Control Organization"
18/02/2021,"Rotavirus (live, attenuated)",ROTASIIL-Liquid,"Plastic Tube",1,"Serum Institute of India Pvt. Ltd.","Central Drugs Standard Control Organization"
28/01/2020,"Rotavirus (live, attenuated)",ROTASIIL®Thermo,"Two vial set (active + excipient)",1,"Serum Institute of India Pvt. Ltd.","Central Drugs Standard Control Organization"
28/01/2020,"Rotavirus (live, attenuated)",ROTASIIL®Thermo,"Two vial set (active + excipient)",2,"Serum Institute of India Pvt. Ltd.","Central Drugs Standard Control Organization"
07/10/2008,Rotavirus,Rotateq,"Plastic Tube",1,"Merck Sharp & Dohme LLC",CBER/FDA
05/01/2018,"Rotavirus (live, attenuated)",Rotavac,Vial,5,"Bharat Biotech International Limited","Central Drugs Standard Control Organization"
05/01/2018,"Rotavirus (live, attenuated)",Rotavac,Vial,10,"Bharat Biotech International Limited","Central Drugs Standard Control Organization"
18/06/2021,"Rotavirus (live, attenuated)","ROTAVAC 5D®",Vial,1,"Bharat Biotech International Limited","Central Drugs Standard Control Organization"
18/06/2021,"Rotavirus (live, attenuated)","ROTAVAC 5D®",Vial,5,"Bharat Biotech International Limited","Central Drugs Standard Control Organization"
01/09/2006,Rubella,"Rubella Vaccine, Live, Attenuated",Vial,1,"Serum Institute of India Pvt. Ltd.","Central Drugs Standard Control Organization"
01/09/2006,Rubella,"Rubella Vaccine, Live, Attenuated",Vial,2,"Serum Institute of India Pvt. Ltd.","Central Drugs Standard Control Organization"
01/09/2006,Rubella,"Rubella Vaccine, Live, Attenuated",Vial,5,"Serum Institute of India Pvt. Ltd.","Central Drugs Standard Control Organization"
01/09/2006,Rubella,"Rubella Vaccine, Live, Attenuated",Vial,10,"Serum Institute of India Pvt. Ltd.","Central Drugs Standard Control Organization"
25/05/2018,"Influenza, seasonal (Trivalent)",Serinflu,Vial,1,"Abbott Biologicals BV","Medicines Evaluation Board (MEB)"
29/09/2011,"cholera: inactivated oral",Shanchol,Vial,1,"Sanofi Healthcare India Private Limited","Central Drugs Standard Control Organization"
01/10/2018,"Polio Vaccine - Inactivated (IPV)",ShanIPV™,Vial,5,"Sanofi Healthcare India Private Limited","Central Drugs Standard Control Organization"
22/04/2022,"Polio Vaccine - Inactivated (IPV)",ShanIPV™,Vial,10,"Sanofi Healthcare India Private Limited","Central Drugs Standard Control Organization"
14/10/2022,"Yellow Fever",SinSaVac™,Vial,10,"Federal State Autonomous Scientific Institution «Chumakov Federal Scientific Center for Research & Development of Immune-And Biological Products», Russian Academy of Sciences","Federal Service on Surveillance in Healthcare (ROSZDRAVNADZOR) of the Russian Federation"
27/12/2019,"Influenza, seasonal (Quadrivalent)","SKYCellflu Quadrivalent inj.",Vial,1,"SK Bioscience Co., Ltd.","Ministry of Food and Drug Safety"
27/12/2019,"Influenza, seasonal (Quadrivalent)","SKYCellflu Quadrivalent Multi inj.",Vial,10,"SK Bioscience Co., Ltd.","Ministry of Food and Drug Safety"
15/05/2019,"Influenza, seasonal (Trivalent)","SKYCellflu® inj.",Vial,1,"SK Bioscience Co., Ltd.","Ministry of Food and Drug Safety"
08/04/2019,"Influenza, seasonal (Trivalent)","SKYCellflu® Multi inj.",Vial,10,"SK Bioscience Co., Ltd.","Ministry of Food and Drug Safety"
21/02/2024,"Typhoid (Conjugate)","SKYTyphoid Multi Inj.",Vial,5,"SK Bioscience Co., Ltd.","Ministry of Food and Drug Safety"
09/12/2019,Varicella,"SKYVaricella Inj.","Two vial set (active + excipient)",1,"SK Bioscience Co., Ltd.","Ministry of Food and Drug Safety"
20/03/2001,"Yellow Fever","Stabilized Yellow Fever Vaccine",Ampoule,5,"Institut Pasteur de Dakar","Ministère de la Santé publique"
20/03/2001,"Yellow Fever","Stabilized Yellow Fever Vaccine",Ampoule,10,"Institut Pasteur de Dakar","Ministère de la Santé publique"
20/03/2001,"Yellow Fever","Stabilized Yellow Fever Vaccine",Ampoule,20,"Institut Pasteur de Dakar","Ministère de la Santé publique"
01/01/1987,"Yellow Fever",STAMARIL,"Vial + Ampoule",10,"Sanofi Pasteur","Agence nationale de sécurité du médicament et des produits de santé"
30/10/2009,"Pneumococcal (conjugate)",Synflorix,Vial,1,"GlaxoSmithKline Biologicals SA","European Medicines Agency"
19/03/2010,"Pneumococcal (conjugate)",Synflorix,Vial,2,"GlaxoSmithKline Biologicals SA","European Medicines Agency"
16/10/2017,"Pneumococcal (conjugate)",Synflorix,Vial,4,"GlaxoSmithKline Biologicals SA","European Medicines Agency"
09/05/2006,"Diphtheria-Tetanus (reduced antigen content)",Tetadif,Vial,10,"BB- NCIPD Ltd. (Bul Bio-National Center of Infectious and Parasitic Diseases Ltd.)","Bulgarian Drug Agency"
09/05/2006,"Diphtheria-Tetanus (reduced antigen content)",Tetadif,Vial,20,"BB- NCIPD Ltd. (Bul Bio-National Center of Infectious and Parasitic Diseases Ltd.)","Bulgarian Drug Agency"
04/04/1995,"Tetanus Toxoid","Tetanus  Toxoid Vaccine Adsorbed",Vial,10,"Serum Institute of India Pvt. Ltd.","Central Drugs Standard Control Organization"
04/04/1995,"Tetanus Toxoid","Tetanus  Toxoid Vaccine Adsorbed",Vial,20,"Serum Institute of India Pvt. Ltd.","Central Drugs Standard Control Organization"
04/04/1995,"Tetanus Toxoid","Tetanus  Toxoid Vaccine Adsorbed",Ampoule,1,"Serum Institute of India Pvt. Ltd.","Central Drugs Standard Control Organization"
09/05/2006,"Tetanus Toxoid",Tetatox,Vial,10,"BB- NCIPD Ltd. (Bul Bio-National Center of Infectious and Parasitic Diseases Ltd.)","Bulgarian Drug Agency"
09/05/2006,"Tetanus Toxoid",Tetatox,Vial,20,"BB- NCIPD Ltd. (Bul Bio-National Center of Infectious and Parasitic Diseases Ltd.)","Bulgarian Drug Agency"
11/03/1999,"Tetanus Toxoid","TT vaccine",Vial,10,"PT Bio Farma (Persero)","National Agency of Drug and Food Control Indonesia"
11/03/1999,"Tetanus Toxoid","TT vaccine",Vial,20,"PT Bio Farma (Persero)","National Agency of Drug and Food Control Indonesia"
29/10/2003,"Tetanus Toxoid","TT vaccine",Uniject,1,"PT Bio Farma (Persero)","National Agency of Drug and Food Control Indonesia"
22/12/2017,"Typhoid (Conjugate)",Typbar-TCV,Vial,1,"Bharat Biotech International Limited","Central Drugs Standard Control Organization"
22/12/2017,"Typhoid (Conjugate)",Typbar-TCV,Vial,5,"Bharat Biotech International Limited","Central Drugs Standard Control Organization"
04/12/2020,"Typhoid (Conjugate)",TYPHIBEV®,Vial,1,"Biological E. Limited","Central Drugs Standard Control Organization"
04/12/2020,"Typhoid (Conjugate)",TYPHIBEV®,Vial,5,"Biological E. Limited","Central Drugs Standard Control Organization"
03/11/2022,Varicella,"Varicella Vaccine, Live",Vial,1,"Sinovac (Dalian) Vaccine Technology Co., Ltd.","National Medical Products Administration"
09/02/2018,Varicella,Varivax,"Two vial set (active + excipient)",1,"Merck Sharp & Dohme LLC",CBER/FDA
30/06/2011,"Influenza, seasonal (Trivalent)",Vaxigrip,Vial,10,"Sanofi Pasteur","Agence nationale de sécurité du médicament et des produits de santé"
15/10/2020,"Influenza, seasonal (Quadrivalent)",VaxigripTetra,Vial,10,"Sanofi Pasteur","Agence nationale de sécurité du médicament et des produits de santé"
06/02/2019,Rabies,"VaxiRab N",Vial,1,"Zydus Lifesciences Limited","Central Drugs Standard Control Organization"
22/06/2005,Rabies,VERORAB,Vial,1,"Sanofi Pasteur","Agence nationale de sécurité du médicament et des produits de santé"
02/08/2024,"Human Papillomavirus (Bivalent)",Walrinvax®,Vial,1,"Yuxi Zerun Biotechnology Co., Ltd","National Medical Products Administration"
17/10/2001,"Yellow Fever","Yellow Fever","Two vial set (active + excipient)",5,Bio-Manguinhos/Fiocruz,"Agencia Nacional da Vigilancia Sanitaria"
10/12/2007,"Yellow Fever","Yellow Fever","Two vial set (active + excipient)",10,Bio-Manguinhos/Fiocruz,"Agencia Nacional da Vigilancia Sanitaria"
17/10/2001,"Yellow Fever","Yellow Fever","Two vial set (active + excipient)",50,Bio-Manguinhos/Fiocruz,"Agencia Nacional da Vigilancia Sanitaria"
27/04/2021,"Ebola vaccine (Ad26.ZEBOV-GP [recombinant])",Zabdeno,Vial,1,"Janssen Cilag International N.V.","European Medicines Agency"
21/10/2024,"Typhoid (Conjugate)",ZyVac®,Vial,5,"Zydus Lifesciences Limited","Central Drugs Standard Control Organization"
